jtc_id,is_client,name
JTC000999,0,Friedman Management
JTC001000,0,Friedman Management Corporation
JTC000824,0,Frontier Realty LLC
JTC000703,0,Frost Chaddock Developers
JTC000544,0,Frye Property
JTC001132,0,Fuller Apartment Homes
JTC000704,0,Fusion Property Management Company
JTC000040,0,Gables Residential
JTC000130,0,Gaia
JTC000041,0,Gaines
JTC001201,0,Gainesville Real Estate Management
JTC001202,0,Galman Group
JTC000360,0,Garden Homes Management
JTC001098,0,Garden Homes Management Corp.
JTC001001,0,Gardner Management
JTC000210,0,Garner Property Management
JTC000361,0,Gaston & Wilkerson Management Group
JTC001203,0,Gatehouse Management
JTC000371,0,Gates Hudson
JTC001204,0,Gator Investments Trust
JTC001133,0,GEM Management
JTC000146,1,Gene B Glick
JTC000373,0,General Services Corporation
JTC000879,0,Genesis Properties
JTC000705,0,Gerding Edlen
JTC001002,0,GFI Capital Resources Inc
JTC000390,0,GHP Management
JTC001003,0,Gianikas Property Management
JTC000042,0,Ginkgo Residential
JTC000418,0,Glenwood
JTC000411,1,Glick-Affordable
JTC000706,0,Goldberg Companies
JTC000566,0,Goldmark Property Management
JTC000538,0,GoldOller
JTC000707,0,Goldrich & Kest Industries
JTC000708,1,"Golub Realty Services, LLC"
JTC000285,0,Gorman
JTC000825,0,GPM LLC
JTC001004,0,Grace Management
JTC000144,0,Grady Management
JTC001205,0,Graham Companies
JTC001206,0,Gran Inc.
JTC000043,0,Grand Campus
JTC000709,0,GRAND PEAKS
JTC000530,0,Granite Student Living
JTC001207,0,Grassano Management Inc.
JTC000044,0,Grayco
JTC001005,0,Grayco
JTC001134,0,Great Eastern Management Company
JTC000211,0,Greater Coastal Management Co LLC
JTC000212,0,Green & Jin Investments LLC
JTC000710,0,Green Leaf Partners
JTC001114,0,Greenbrier Management Company
JTC000547,0,Greenwood & McKenzie
JTC000045,1,Greystar
JTC000046,1,Greystar Student
JTC000526,0,Greystone
JTC000156,0,Greystone Asset
JTC000757,0,Greystone Management Group
JTC000047,1,Greystone Properties
JTC000391,0,Griffis Blessing
JTC000400,0,Griffis Residential
JTC000711,0,Griffith Real Estate Services
JTC001135,0,Gross Builders
JTC000362,0,Group Fox
JTC000758,0,Grubb Properties
JTC001136,0,Guardian Real Estate Services
JTC000169,0,Gumenick Properties
JTC000712,0,GWR Management
JTC000713,0,H. A. Langer & Associates
JTC000639,0,H.A.N.D.S.
JTC000521,0,H.G. Fenton Company
JTC000363,0,Habitat
JTC000714,0,HallKeen Management
JTC000522,0,Hamilton Point Property Management
JTC000715,0,Hammond Residential Group
JTC000523,0,Hankin
JTC000048,0,Harbor Group Management
JTC000640,0,Harper Realty Group
JTC000524,0,Harrison Richard Apartments
JTC001006,0,Harvest Properties
JTC000289,0,Hawthorne Residential Partners
JTC000826,0,Hayden Properties
JTC000948,0,Heartland Realty Investors
JTC000716,0,Heers Management Company
JTC001208,0,Hendersen-Webb Inc.
JTC000213,0,Henry S Miller
JTC001007,0,Henry S Miller
JTC000049,0,Hercules Real Estate Service Inc.
JTC001209,0,Heritage Communities
JTC000396,0,Hermann Kittle
JTC000110,0,Hettig
JTC000305,1,HHHunt
JTC000827,0,HI Management
JTC000525,0,High Associates
JTC000101,0,Hills Property Management
JTC000104,1,Hillwood
JTC000528,0,Hines
JTC000102,1,Hirschfeld
JTC000880,0,HM Equity Management LLC
JTC000631,0,Hoban Management
JTC000622,0,Hogan & Co.
JTC001210,0,Holiday
JTC000173,0,Holland Residential 
JTC000717,0,Holsten Real Estate Development Corporation
JTC000050,0,Home Properties
JTC001211,0,Homecorp Inc.
JTC000529,0,Homestead America
JTC000112,1,Horizon Realty Advisors
JTC000718,0,Horizon Realty Group
JTC000215,0,Hot Ocean Property Management
JTC000719,0,Housing Management Resources Inc.
JTC000216,0,Houston Housing Authority
JTC000374,0,HRI Properties
JTC001115,0,HSI Management Inc.
JTC000720,0,HSL Properties
JTC001212,0,Hubbard Properties
JTC000166,0,Hubbell
JTC001008,0,Hughes Management
JTC001009,0,Hughes Properties
JTC000539,0,Humphrey Management
JTC000051,1,Hunt Companies
JTC010003,1,Hunt Military
JTC000398,0,Huntington Properties
JTC001213,0,Implicity Management
JTC001214,0,Impro Synergies
JTC000295,1,IMS Management
JTC000174,0,IMT Residential 
JTC000828,0,In Good Company
JTC001010,0,Income Property Management
JTC000721,0,Incore Residential
JTC000722,0,INDIO MANAGEMENT
JTC000723,0,Inland Residential
JTC000440,0,Insula Companies
JTC000533,0,Integral Property Management
JTC001137,0,Integrated Real Estate Group
JTC001011,0,Integrity Asset Management LLC
JTC000567,0,InterMark Management Corporation
JTC001012,0,Internacional Realty Inc
JTC000217,0,Internacional Realty Inc
JTC000124,0,Investor Property Services
JTC000052,0,IPA
JTC000943,0,IREM
JTC000947,0,IRET Properties
JTC000053,0,Irvine
JTC000724,0,Irwin R Rose
JTC000218,0,Itex Property Management
JTC000219,0,J Allen Management Co Inc
JTC001013,0,J Hester Properties
JTC111111,1,J Turner Research
JTC000725,0,J.L. Woode Ltd.
JTC001138,0,Jack Bell Companies Inc
JTC000465,0,Jack Parker Corporation
JTC000829,0,James Management Group
JTC000054,1,Jamespoint
JTC000395,0,JBG Companies
JTC000303,0,JC Hart
JTC000220,0,JD Services
JTC000095,1,Jefferson Apartment Group
JTC001215,0,Jensen Properties
JTC000726,0,JLB Partners
JTC000221,0,JMG Realty Inc
JTC000106,1,Jones and Jones
JTC001014,0,Jones Apartment Management
